	dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
Sample-1-101-721-508-Medela	33692	17347	17100	17005	16096	12977	38.5
Sample-1-116m-723-502-Medela	52664	30409	30157	30148	28876	23689	45
Sample-1-129-723-506-Medela	40319	23271	23028	23024	21861	17093	42.4
Sample-1-133-722-507-Medela	45565	23506	23287	23369	22350	17101	37.5
Sample-1-14-722-503-Medela	62252	40000	39826	39847	38062	29440	47.3
Sample-1-149-724-505-Medela	47056	14257	14055	14199	13976	10493	22.3
Sample-1-152-723-505-Medela	50523	29786	29696	29595	28361	22249	44
Sample-1-159-722-504-Medela	34762	17158	17036	16873	15568	12031	34.6
Sample-1-164-723-504-Medela	31974	14769	14691	14663	14095	10608	33.2
Sample-1-174m-724-501-Medela	25377	11698	11197	11312	9224	3078	12.1
Sample-1-178-724-506-Medela	45107	22046	21913	21916	21502	17226	38.2
Sample-1-179-724-504-Medela	28856	10505	10368	10271	9863	8041	27.9
Sample-1-183-721-505-Medela	41108	21827	21573	21549	20654	16864	41
Sample-1-186-726-503-Medela	33394	19059	18810	18860	18345	13160	39.4
Sample-1-187-721-504-Medela	12419	5235	5093	4992	4275	3750	30.2
Sample-1-199-721-506-Medela	42178	22809	22593	22526	21415	15744	37.3
Sample-1-200-723-507-Medela	149532	82663	82423	82423	80993	58189	38.9
Sample-1-202-720-508-Medela	31316	18905	18740	18798	18521	13018	41.6
Sample-1-209-722-508-Medela	38830	19113	18902	18873	18123	14838	38.2
Sample-1-211-722-502-Medela	45068	24901	24618	24662	23126	19017	42.2
Sample-1-212-720-507-Medela	51547	26671	26295	26298	24349	19762	38.3
Sample-1-213-722-505-Medela	40399	20882	20426	20512	19612	14228	35.2
Sample-1-218-724-502-Medela	39096	22463	22112	22233	21243	14699	37.6
Sample-1-219-721-503-Medela	41011	24557	24339	24387	23556	19164	46.7
Sample-1-220-724-503-Medela	41464	22813	22622	22608	21682	17330	41.8
Sample-1-222-723-508-Medela	39528	22106	21886	21898	20905	11499	29.1
Sample-1-224-723-501-Medela	29295	14746	14562	14570	13824	11297	38.6
Sample-1-4-726-502-Medela	50321	27922	27727	27741	26942	16976	33.7
Sample-1-41-724-508-Medela	119510	66062	65422	65649	61630	44344	37.1
Sample-1-54-723-503-Medela	100852	60147	59959	60000	58996	47303	46.9
